65	24	3	57	38	95
88	8	98	90	53	69
59	45	49	18	88	100
21	10	8	98	22	50
53	90	83	78	9	30
71	46	76	24	31	53
58	63	31	25	39	94
25	31	82	63	81	29
97	35	9	75	81	67
95	98	71	55	50	48
95	48	73	58	31	52
65	51	85	36	29	45
90	37	90	33	84	23
78	8	27	3	56	44
70	78	85	85	49	33
28	91	96	93	21	58
13	57	72	25	51	2
13	51	84	38	70	97
70	38	5	42	36	35
43	48	35	40	84	87
93	56	46	52	97	65
72	45	26	62	82	69
6	43	79	24	77	70
2	71	25	84	71	85
62	52	50	28	10	39
72	70	97	51	14	21
59	35	62	21	60	61
100	44	14	27	46	51
64	82	97	42	42	100
12	25	93	53	10	36
84	34	79	93	31	33
46	45	22	35	41	5
44	4	49	37	94	27
15	57	52	67	11	100
2	84	86	18	30	76
17	87	50	47	52	90
89	46	79	23	9	50
14	53	96	23	32	18
37	37	74	67	68	14
21	55	25	14	39	35
44	49	9	11	42	6
85	36	75	62	19	16
62	29	59	17	3	80
42	62	12	21	7	11
38	1	66	15	15	35
70	48	88	81	20	81
52	17	25	9	99	19
100	32	97	43	8	34
11	27	9	51	55	88
33	48	76	22	58	25
80	68	2	11	48	72
99	5	60	57	94	21
12	16	78	42	30	29
92	62	18	41	27	11
68	66	10	73	14	67
15	30	98	78	91	83
44	85	65	4	34	96
98	81	34	66	35	74
10	10	68	59	63	35
60	76	86	94	40	73
55	7	60	84	46	19
54	4	36	25	14	29
53	15	16	66	82	64
7	59	23	9	67	52
88	31	26	49	72	89
69	29	80	24	81	79
19	82	16	43	87	56
87	51	32	49	7	58
40	12	27	4	53	41
90	33	55	92	87	82
40	97	68	83	52	5
36	4	76	27	39	36
37	94	67	78	74	56
76	56	23	34	83	91
98	89	95	42	8	47
37	20	82	20	11	34
38	53	15	40	96	6
43	94	57	97	31	59
58	17	100	29	4	70
43	30	47	59	44	25
68	52	39	4	2	24
27	62	21	73	86	84
5	51	54	90	29	33
58	27	62	87	18	73
81	94	37	47	13	65
38	34	48	59	71	71
87	34	31	85	54	57
76	56	69	7	31	5
70	59	94	1	68	33
42	27	20	26	60	13
99	62	54	93	43	16
52	3	87	90	48	100
1	74	27	27	25	33
63	48	60	54	50	14
77	20	61	26	82	71
7	12	13	65	52	96
86	94	9	17	36	15
33	8	64	56	6	54
81	66	89	84	72	46
51	65	41	71	67	80
98	73	91	65	3	94
3	68	46	42	33	90
61	36	25	91	24	78
85	7	57	50	44	95
81	98	24	1	2	29
76	31	51	55	29	25
66	82	9	61	27	77
28	81	53	46	32	97
45	98	76	87	62	52
60	91	44	62	51	36
15	100	45	84	7	77
43	50	79	70	64	52
11	81	62	52	11	10
60	50	53	33	25	23
65	82	28	51	88	77
47	84	95	77	16	86
84	92	44	68	42	10
3	29	13	55	100	8
77	70	14	80	65	33
91	10	68	27	91	62
62	52	13	32	88	20
7	66	40	96	57	40
77	69	48	67	31	21
5	83	89	66	13	28
14	37	73	29	30	13
7	30	16	1	77	63
85	3	79	13	43	31
28	42	5	94	93	63
94	88	41	95	24	88
1	62	21	14	94	67
62	84	49	74	97	26
91	45	40	27	100	76
20	58	51	9	42	56
16	72	13	72	6	33
28	94	53	63	17	23
34	26	87	65	67	55
58	9	82	90	98	93
32	77	35	90	82	76
13	38	30	10	17	33
67	33	67	78	56	83
96	99	81	99	22	76
32	40	37	92	71	5
5	44	24	33	30	6
39	71	16	63	3	6
77	22	19	49	6	73
47	35	25	13	24	30
42	22	55	44	38	39
5	91	56	95	54	48
34	84	45	54	39	13
87	36	87	70	24	75
49	50	10	28	64	49
12	7	100	56	75	25
96	78	41	39	77	87
33	51	51	26	7	43
70	9	36	67	34	73
29	6	68	50	60	10
68	9	44	42	83	52
76	63	40	3	70	70
80	25	70	58	97	11
48	36	52	65	7	49
47	100	97	39	71	67
49	68	82	70	92	98
5	76	90	96	64	63
3	74	9	62	33	26
89	67	48	49	81	98
76	35	25	4	85	22
79	48	37	84	52	84
87	75	33	55	98	98
39	56	8	5	8	57
97	16	7	14	28	20
25	53	42	9	57	33
95	15	19	38	70	82
